stem,marker_id,rot,raw_mean_err,raw_max_err,raw_tl_err_px,raw_phi,cls_mean_err,cls_max_err,cls_tl_err_px,cls_phi,cnn_mean_err,cnn_max_err,cnn_tl_err_px,cnn_phi,delta_mean_err,delta_phi
000000191874,202,1,154.1421,165.1232,145.6767,0.0000,153.1243,165.1232,145.6767,0.0000,113.9648,116.8444,116.8444,0.0000,-39.1595,0.0000
000000191874,41,3,35.0177,48.5640,48.5640,0.0042,34.6482,48.5640,48.5640,0.0042,19.1508,23.8426,23.8426,0.2677,-15.4974,0.2635
000000191874,30,3,35.9960,37.2151,34.1216,0.0673,35.1344,37.2151,34.1216,0.0673,27.2716,28.9929,26.8848,0.1872,-7.8628,0.1199
000000191874,214,0,13.5017,22.9205,3.7540,0.9679,12.6982,24.6063,2.6481,0.9839,8.8566,17.1802,1.6588,0.9936,-3.8416,0.0098
000000191874,232,3,21.2064,23.3788,17.7425,0.4820,19.6191,21.8798,17.7425,0.4820,15.1102,16.8742,13.7100,0.6468,-4.5089,0.1648
000000031043,76,3,157.8241,179.1283,179.1283,0.0000,157.7992,179.1283,179.1283,0.0000,109.4266,110.9122,110.9122,0.0000,-48.3726,0.0000
000000031043,70,3,17.4411,22.6463,22.6463,0.3045,17.4993,22.8792,22.8792,0.2972,11.3741,11.8440,11.8440,0.7224,-6.1252,0.4252
000000031043,90,3,20.0645,24.9609,24.9609,0.2359,19.5501,27.6514,27.6514,0.1699,12.0668,12.6885,12.6885,0.6885,-7.4833,0.5186
000000112703,186,3,167.0470,210.0338,210.0338,0.0000,167.4868,211.7928,211.7928,0.0000,110.6279,112.1687,110.4715,0.0000,-56.8589,0.0000
000000112703,226,3,18.0035,22.3621,21.9032,0.3288,18.0035,22.3621,21.9032,0.3288,11.5672,12.0337,10.8943,0.7595,-6.4363,0.4306
000000112703,174,2,29.0877,39.0131,39.0131,0.0294,28.5627,39.0131,39.0131,0.0294,13.8936,26.9787,26.9787,0.1850,-14.6691,0.1557
000000112703,209,2,58.3506,83.6156,83.6156,0.0000,58.3506,83.6156,83.6156,0.0000,29.1206,58.4549,58.4549,0.0004,-29.2300,0.0004
000000112703,155,2,42.4742,66.3057,66.3057,0.0000,41.7310,66.3057,66.3057,0.0000,26.9835,53.0858,53.0858,0.0015,-14.7475,0.0014
000000112703,124,3,11.0579,13.0161,9.2574,0.8198,8.9169,9.2574,9.2574,0.8198,8.3769,9.2254,9.2254,0.8209,-0.5400,0.0011
000000057481,12,3,84.1806,94.5064,94.5064,0.0000,84.1806,94.5064,94.5064,0.0000,58.8680,60.3583,59.0570,0.0003,-25.3126,0.0003
000000057481,220,3,31.5270,40.6175,39.3819,0.0274,31.5270,40.6175,39.3819,0.0274,19.8523,20.8576,19.0005,0.4330,-11.6747,0.4056
000000057481,52,2,73.8221,122.8836,122.8836,0.0000,75.4851,127.4157,127.4157,0.0000,51.9612,99.1852,99.1852,0.0000,-23.5240,0.0000
000000057481,106,2,75.4890,105.2049,101.9023,0.0000,75.5371,105.2049,101.9023,0.0000,37.3404,73.3967,72.3683,0.0000,-38.1968,0.0000
000000344325,4,1,25.2094,30.3838,30.3838,0.1176,25.6635,32.2001,32.2001,0.0904,16.7257,17.2752,17.2752,0.5007,-8.9378,0.4103
000000344325,64,3,115.2068,118.3654,117.9631,0.0000,115.2068,118.3654,117.9631,0.0000,90.3669,92.1396,91.8911,0.0000,-24.8400,0.0000
000000344325,9,2,39.0806,58.2687,58.2687,0.0004,39.3391,58.2687,58.2687,0.0004,21.6874,42.9250,42.9250,0.0140,-17.6517,0.0136
000000541280,118,2,70.9569,117.3149,117.3149,0.0000,72.2091,122.5247,117.3149,0.0000,46.7545,92.1857,92.1857,0.0000,-25.4546,0.0000
000000541280,49,3,33.8509,41.2351,24.2001,0.2573,36.0246,46.6569,24.2001,0.2573,22.7023,24.8936,20.6614,0.3717,-13.3223,0.1144
000000088102,58,1,22.7223,24.9495,24.9495,0.2362,22.7223,24.9495,24.9495,0.2362,16.0605,16.7301,16.0230,0.5515,-6.6618,0.3153
000000088102,221,2,61.6557,103.5738,103.5738,0.0000,61.7277,102.8280,100.5441,0.0000,41.5087,81.5526,81.5526,0.0000,-20.2190,0.0000
000000088102,83,2,23.3320,35.7104,35.7104,0.0520,24.0175,37.5641,35.7104,0.0520,12.9281,25.5989,25.5989,0.2189,-11.0895,0.1669
000000288776,120,0,90.6299,155.0397,33.2204,0.0774,90.9409,153.4974,33.2204,0.0774,61.1261,121.2960,0.4087,0.9996,-29.8149,0.9222
000000288776,111,1,16.6809,19.4087,18.6063,0.4482,16.6809,19.4087,18.6063,0.4482,11.2595,11.7967,10.9783,0.7562,-5.4213,0.3081
000000288776,134,3,91.5327,103.2422,77.2953,0.0000,90.5577,103.2422,77.2953,0.0000,64.7737,69.8124,63.9297,0.0001,-25.7841,0.0001
000000288776,224,2,40.1064,49.5872,49.5872,0.0033,39.7850,49.5872,49.5872,0.0033,29.6919,32.2663,32.2663,0.0895,-10.0931,0.0862
000000242897,192,2,51.0375,81.4309,80.6999,0.0000,51.7838,80.6999,80.6999,0.0000,30.8089,60.9486,60.4221,0.0002,-20.9749,0.0002
000000242897,142,2,75.6552,93.7846,93.7846,0.0000,75.6552,93.7846,93.7846,0.0000,55.4355,58.6409,58.6409,0.0003,-20.2197,0.0003
000000242897,61,2,62.2703,80.6483,80.6483,0.0000,62.2703,80.6483,80.6483,0.0000,32.4418,61.4361,61.4361,0.0002,-29.8285,0.0002
000000242897,104,2,17.4771,26.4417,26.4417,0.1977,17.4771,26.4417,26.4417,0.1977,9.4095,18.8685,18.8685,0.4381,-8.0676,0.2404
